Object_ID,Judul,Budaya,Lisensi,URL_Gambar_API,URL_Web_Sumber
37752,Anthropomorphic Lime Container,"Indonesia (Java, Lumajang, Pasiran)",CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/2000_284_46.jpg,https://www.metmuseum.org/art/collection/search/37752
37750,Anthropomorphic Lime Container,"Indonesia (Java, Lumajang, Pasiran)",CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/DT11847.jpg,https://www.metmuseum.org/art/collection/search/37750
31781,"Shield (<i>Peurise tuju bintang</i>, ""seven star shield"")","Sumatran, Sultanate of Aceh",CC0 (Public Domain),https://images.metmuseum.org/CRDImages/aa/original/LC-36_25_602-001.jpg,https://www.metmuseum.org/art/collection/search/31781
26824,"Shield (peurise tuju bintang ""seven star shield"")","Sumatran, Sultanate of Aceh",CC0 (Public Domain),https://images.metmuseum.org/CRDImages/aa/original/LC-36_25_620-001.jpg,https://www.metmuseum.org/art/collection/search/26824
502064,Sesando,Javanese (Timorese),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/mi/original/DP302560.jpg,https://www.metmuseum.org/art/collection/search/502064
39268,Standing Male Ruler (?),Thailand or Indonesia,CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/1996_368.jpg,https://www.metmuseum.org/art/collection/search/39268
504986,Bell,Javanese,CC0 (Public Domain),https://images.metmuseum.org/CRDImages/mi/original/MUS1518LS.A2.jpg,https://www.metmuseum.org/art/collection/search/504986
31220,Sword with Scabbard,"Indonesian, Wetar, Pulau",CC0 (Public Domain),https://images.metmuseum.org/CRDImages/aa/original/36.25.1398a_b_001_Apr2017.jpg,https://www.metmuseum.org/art/collection/search/31220
31399,Sword,"Indonesian, Adonara, Pulau",CC0 (Public Domain),https://images.metmuseum.org/CRDImages/aa/original/LC-36_25_1400-001-2.jpg,https://www.metmuseum.org/art/collection/search/31399
39004,Seated Ganesha,Indonesia,CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/1987_142_167.JPG,https://www.metmuseum.org/art/collection/search/39004
39013,Seated Kuvera,Indonesia,CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/1987_142_215.jpg,https://www.metmuseum.org/art/collection/search/39013
38996,"Standing Manjushri, the Bodhisattva of Transcendent Wisdom",Indonesia,CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/LC-1986_240-base.jpg,https://www.metmuseum.org/art/collection/search/38996
38266,Figure of Kuvera,Indonesia,CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/1987_142_154.jpg,https://www.metmuseum.org/art/collection/search/38266
39242,Mold (Bird-Shaped),Indonesia,CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/1987_142_270.jpg,https://www.metmuseum.org/art/collection/search/39242
39243,Mold (Mountain-Shaped),Indonesia,CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/1987_142_271.jpg,https://www.metmuseum.org/art/collection/search/39243
39245,Mold (Square-Shaped with Flower),Indonesia,CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/1987_142_274.jpg,https://www.metmuseum.org/art/collection/search/39245
39247,Mold (Pentagon-Shaped with Flower),Indonesia,CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/1987_142_272.jpg,https://www.metmuseum.org/art/collection/search/39247
